parcel1,parcel2,parcel_num,parcel_add
124A1 B015,,124A1 B015,10 PINE VALLEY DR
173A1 C012,,173A1 C012,100 CLOVERHURST TER
132D5 A002,,132D5 A002,100 DOWNING WAY
132D5 A006,,132D5 A006,100 DOWNING WAY
124C4 B001,,124C4 B001,100 DUNCAN SPRINGS RD
161D4 B014,,161D4 B014,100 FREEMAN DR
181,27,181 27,100 WOODSTONE DR
241A2 A005C,,241A2 A005C,101 HIGHLAND PARK DR
173C1 D002,,173C1 D002,101 MILLEDGE HTS
123A5 C004,,123A5 C004,101 WOOD LAKE DR
244A  A007,,244A A007,1015 WHIT DAVIS RD
131A1 A001,,131A1 A001,102 BRANFORD PL
071A1 A006,,071A1 A006,102 CHESTERFIELD RD
121A1 E001C,,121A1 E001C,1020 FOREST HEIGHTS DR
174D5 J033,,174D5 J033,1035 BARNETT SHOALS RD
184B8 B014,,184B8 B014,104 LAUREN LN
122B1 A006A,,122B1 A006A,1045 PRINCE AVE
122B4 D021,,122B4 D021,1045 W HANCOCK AVE
293C2 A025,,293C2 A025,105 BACH DR
181A3 A015,,181A3 A015,105 DAVIS ST
132,63,132 63,105 EAGLEWOOD WAY
082A  C003,,082A C003,105 EDGEWOOD DR
243A6 B045,,243A6 B045,105 STONYBROOK PL
121B5 A016,,121B5 A016,105 SURRY CT
111A3  005,,111A3 005,105 WHITEHEAD RD
122D6  106,,122D6 106,1055 BAXTER ST
122D6  206,,122D6 206,1055 BAXTER ST
122D6  401,,122D6 401,1055 BAXTER ST
122B1 A007,,122B1 A007,1055 PRINCE AVE
114C2 A028,,114C2 A028,106 SYLVIA CIR
241A2 A005F,,241A2 A005F,107 HIGHLAND PARK DR
113A2 E011,,113A2 E011,108 VALLEYWOOD DR
074C  C014,,074C C014,110 HIGHLAND DR
163B7 A031,,163B7 A031,110 LAKE ST
64,5,64 5,110 QUAILWOOD DR
072B1 D002,,072B1 D002,110 TREMONT CT
122A4 C003,,122A4 C003,110 WILLOW RUN
124D1 A003,,124D1 A003,110 WOODLAND WAY
242B4 A006,,242B4 A006,111 GREENBRIER WAY
121B2 J013,,121B2 J013,111 HAMPTON PARK DR
163C1 H003,,163C1 H003,111 KENDENE ST
163B1 A013C,,163B1 A013C,112 CONRAD DR
254,015A,254 015A,112 HICKORY POINTE DR
184B8 A010,,184B8 A010,112 LAYLA CT
171B2 D006,,171B2 D006,113 FIRST ST
132D4 B027,,132D4 B027,113 OXFORD CT
174D2 A005,,174D2 A005,1130 BARNETT SHOALS RD
123B2 E002,,123B2 E002,115 BISHOP DR
113A2 B008,,113A2 B008,115 CLIFTON DR
252C2 A003,,252C2 A003,115 HANCOCK LN
072C2 B019,,072C2 B019,115 KINGSTON WAY
111C3 B002,,111C3 B002,115 LAUREL DR
082A  C001,,082A C001,115 LENOX RD
163D4 K009A,,163D4 K009A,115 SUMMERWOOD PL
072C2 D006,,072C2 D006,115 URBANA WAY
